top_emotion,No stress,Stress
admiration,92,5
amusement,15,2
anger,4,1
annoyance,54,10
approval,294,27
caring,27,1
confusion,188,40
curiosity,335,37
desire,24,4
disappointment,47,28
disapproval,139,18
disgust,6,0
embarrassment,5,0
excitement,26,2
fear,3,1
gratitude,22,0
grief,1,0
joy,9,0
love,7,1
nervousness,2,0
neutral,829,25
optimism,148,15
pride,1,0
realization,124,27
remorse,6,0
sadness,2,3
surprise,8,1
