,text_length_chars,word_count
count,2666.0,2666.0
mean,1074.14,175.02
std,1677.68,254.11
min,15.0,5.0
25%,174.0,30.0
50%,539.0,97.0
75%,1299.75,219.75
max,25924.0,3484.0
