ai_tool,documents,percent_of_records
AI,1063,39.87
Claude/Anthropic,661,24.79
Gemini,495,18.57
LLM,449,16.84
Llama,419,15.72
OpenAI,255,9.56
ChatGPT,247,9.26
GPT,235,8.81
GitHub Copilot,155,5.81
AI agent,153,5.74
Qwen,136,5.1
DeepSeek,100,3.75
Cursor,80,3.0
Mistral,57,2.14
Aider,20,0.75
AI coding assistant,18,0.68
Generative AI,18,0.68
Artificial Intelligence,17,0.64
Codeium,1,0.04
