community,records
LocalLLaMA,927
OpenAI,412
singularity,366
artificial,164
hackernews,140
github/microsoft/vscode,136
stackoverflow,109
github/huggingface/transformers,58
cscareerquestions,52
MachineLearning,45
webdev,31
programming,29
github/golang/go,11
github/python/cpython,8
github/nodejs/node,8
ExperiencedDevs,7
github/facebook/react,7
github/pytorch/pytorch,6
github/angular/angular,5
github/rust-lang/rust,3
