metric,value
records,2666.0
columns,48.0
platforms,5.0
sources,6.0
dated_records,2527.0
missing_dates,139.0
date_coverage_percent,94.79
average_words,175.02
median_words,97.0
minimum_words,5.0
maximum_words,3484.0
