n_topics,reconstruction_error,topic_diversity,mean_dominant_topic_weight,mean_topic_margin,smallest_topic_records,largest_topic_records,smallest_topic_share,largest_topic_share
4,50.53809590002492,0.95,0.8123604480133705,0.6567554325270051,104,1651,0.03900975243810953,0.6192798199549887
5,50.379879223514145,0.96,0.7739837393213753,0.5928661152359422,86,1425,0.03225806451612903,0.5345086271567892
6,50.25891141886674,0.9333333333333333,0.721579253271906,0.5071933808963514,79,1120,0.029632408102025505,0.42010502625656415
7,50.14522597071642,0.9142857142857143,0.7087770081115424,0.501458406222232,87,1037,0.032633158289572396,0.38897224306076517
8,50.04079436816818,0.925,0.6915282984403078,0.48172044499995126,17,1029,0.006376594148537134,0.3859714928732183
9,49.93682993272431,0.9333333333333333,0.6702824041344166,0.46329794644849764,15,805,0.005626406601650412,0.30195048762190546
10,49.83375136252948,0.93,0.6591946795646588,0.45161652877266,14,800,0.005251312828207052,0.30007501875468867
