threshold,subset_accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,samples_f1,hamming_loss
0.6,0.27441946185035015,0.4282467901374844,0.5907523510971787,0.4965417297938212,0.38639929381013244,0.553934333100426,0.44941737191279413,0.4978108051182139,0.05030672423779685
0.55,0.23737559896793217,0.3955094991364421,0.6460815047021944,0.4906558743006785,0.3612265827143854,0.585787402480295,0.4394990639567489,0.508867943294777,0.05632931388552472
0.5,0.1863251013638039,0.3616794892781143,0.6926332288401253,0.4752123884288633,0.3335442027272308,0.6191665634082265,0.4236012854385844,0.5040558685693223,0.06424095624243062
0.45,0.14190932546995946,0.3279821316395617,0.7365203761755486,0.45385618389916454,0.3073872358519031,0.6517230749397649,0.4057153618838069,0.4887626595053798,0.07443657521984098
0.4,0.10025801695539993,0.2938125894134478,0.7725705329153605,0.4257211953705303,0.2802908344122929,0.6792598967469516,0.38273163969419194,0.4639623154827725,0.08752830288031173
0.35,0.06395134537412459,0.25963815955248704,0.8075235109717869,0.39293749761659613,0.25337090974554766,0.7122952104970933,0.35736511329872517,0.4291716812081721,0.1047798957400874
0.3,0.044600073719130114,0.2259791728150428,0.8401253918495298,0.35615801189408286,0.2248754744269376,0.7457773127488483,0.3275810835349689,0.39207084024629174,0.12755384129324418
0.25,0.028934758569848874,0.19333426495248743,0.8673981191222571,0.3161924351502685,0.19322023333524646,0.770517303214602,0.290940908732789,0.35001845126246156,0.1575483123584856
0.2,0.014559528197567269,0.16144080974864994,0.8949843260188087,0.273539485975712,0.16055498225749557,0.8013623362846097,0.2512582179466572,0.3021311170237364,0.1996274551103154
0.15,0.0075562108367121265,0.1298649896653327,0.925705329153605,0.22777584943499557,0.12564170404710212,0.8401988433863015,0.20554548898807648,0.250952193463568,0.26358538254962877
0.1,0.002580169553999263,0.09923664122137404,0.957680250783699,0.1798381162619573,0.0909170887727229,0.884179373777447,0.15630052204577222,0.19647595714249336,0.3668184929703544
