model,cv_accuracy,cv_macro_f1,test_accuracy,test_macro_f1,stress_precision,stress_recall,stress_f1
Calibrated Linear SVM,0.6596491228070175,0.6570487030306656,0.8,0.7916666666666667,0.7142857142857143,1.0,0.8333333333333334
Logistic Regression,0.6605263157894737,0.6558853668828094,0.75,0.7442455242966752,0.6923076923076923,0.9,0.782608695652174
Complement Naive Bayes,0.6096491228070176,0.5833341140246512,0.65,0.6266666666666667,0.6,0.9,0.72
