model,accuracy,macro_f1,stress_precision,stress_recall,stress_f1
Dreaddit only,0.7258741258741259,0.7248790677220757,0.7223650385604113,0.7615176151761518,0.741424802110818
Dreaddit + Synthetic,0.737062937062937,0.7359218570732551,0.7302798982188295,0.7777777777777778,0.7532808398950132
