primary_emotion,records,percentage
No clear emotion,2251,84.43
Frustration,153,5.74
Distrust or uncertainty,123,4.61
Stress or anxiety,102,3.83
Burnout or exhaustion,21,0.79
Job insecurity or fear,13,0.49
Relief or reduced stress,3,0.11
