model,cv_accuracy_mean,cv_macro_f1_mean,cv_macro_f1_std,cv_stress_precision_mean,cv_stress_recall_mean,cv_stress_f1_mean
Logistic Regression,0.7558157587500312,0.7550276544938826,0.010227591372521395,0.7637461955952523,0.773518179558448,0.7684591995095957
Complement Naive Bayes,0.7589903619246342,0.7534817036808941,0.00852548903414473,0.7269776251151756,0.8655865139086616,0.7901452981842304
Calibrated Linear SVM,0.7463000223563604,0.7451642762809858,0.0062937926621935095,0.7505091439012886,0.7735001016880212,0.7616802571710883
