model,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,specificity,false_positive_rate,mcc,true_negative,false_positive,false_negative,true_positive,predicted_stress,predicted_no_stress,predicted_stress_rate
Dreaddit only,0.8993288590604027,0.7640306122448979,0.5446906035141329,0.08064516129032258,0.625,0.14285714285714285,0.9030612244897959,0.09693877551020408,0.19904508667009474,531,57,3,5,62,534,0.1040268456375839
Dreaddit + Synthetic,0.9161073825503355,0.8341836734693877,0.5746502997430774,0.1111111111111111,0.75,0.1935483870967742,0.9183673469387755,0.08163265306122448,0.2679491339331908,540,48,2,6,54,542,0.09060402684563758
