method,label,count,rate
VADER,Positive,1701,0.6380345086271568
VADER,Negative,565,0.21192798199549887
VADER,Neutral,400,0.15003750937734434
Transformer,Neutral,1707,0.640285071267817
Transformer,Negative,482,0.18079519879969994
Transformer,Positive,477,0.17891972993248312
