number_of_topics,reconstruction_error,topic_diversity,iterations,inverse_error_score,diversity_score,combined_quality_score
4,50.5115470420605,1.0,17,0.0,1.0,0.3
5,50.3605533387611,1.0,30,0.23343042724615992,1.0,0.4634012990723119
6,50.2580250076573,0.9583333333333334,57,0.39193526295403824,0.0,0.27435468406782676
7,50.15372979873684,0.9642857142857143,55,0.5531716234515149,0.1428571428571425,0.4300772792732032
8,50.05436857104313,0.96875,125,0.7067802397410041,0.24999999999999933,0.5697461678187027
9,49.956797296096866,0.9629629629629629,123,0.857621658290072,0.11111111111110904,0.633668494136383
10,49.8647003345395,0.9583333333333334,103,1.0,0.0,0.7
