topic_id,topic_name,records,percentage
0,Ve / Don / Know,760,28.51
7,Agent / Open / Source,526,19.73
4,Llama / Cpp / Llama Cpp,334,12.53
8,Gemini / Google / Flash,275,10.32
5,Claude / Sonnet / Opus,271,10.17
3,Anthropic / Claude Anthropic / Anthropic Claude,247,9.26
1,Gemini Pro / Pro / Gemini,117,4.39
9,Removed / Engineering / Ml,68,2.55
2,Enabled / Disabled / Ms,51,1.91
6,Output Mismatch / Mismatch / List Output,17,0.64
