finding,value
Analyzed records,"2,666"
Selected number of topics,10
Selection method,Highest combined reconstruction-diversity score
Largest provisional topic,Ve / Don / Know (760 records; 28.51%)
Mean topic confidence,0.6475
Low-confidence assignments,124
