ai_tools,Negative,Neutral,Positive
AI,175,718,170
AI agent,16,100,37
AI coding assistant,0,12,6
Aider,3,10,7
Artificial Intelligence,3,10,4
ChatGPT,96,122,29
Claude/Anthropic,106,436,119
Codeium,0,1,0
Cursor,7,57,16
DeepSeek,14,60,26
GPT,68,129,38
Gemini,68,308,119
Generative AI,4,10,4
GitHub Copilot,34,114,7
LLM,54,293,102
Llama,56,266,97
Mistral,7,43,7
OpenAI,65,161,29
Qwen,13,88,35
