ai_tools,Negative,Neutral,Positive
AI,234,156,673
AI agent,23,25,105
AI coding assistant,4,0,14
Aider,3,5,12
Artificial Intelligence,2,0,15
ChatGPT,77,23,147
Claude/Anthropic,156,124,381
Codeium,1,0,0
Cursor,15,3,62
DeepSeek,16,10,74
GPT,54,23,158
Gemini,76,105,314
Generative AI,3,2,13
GitHub Copilot,51,16,88
LLM,63,17,369
Llama,60,17,342
Mistral,9,0,48
OpenAI,57,38,160
Qwen,21,4,111
